ticker,first_obs,last_obs,n_raw,n_filled,pct_filled,n_final,n_zero_returns
AAPL,2007-06-01,2026-09-17,4855,0,0.0,4855,9
MSFT,2007-06-01,2026-09-17,4855,0,0.0,4855,38
JNJ,2007-06-01,2026-09-17,4855,0,0.0,4855,32
JPM,2007-06-01,2026-09-17,4855,0,0.0,4855,21
XOM,2007-06-01,2026-09-17,4855,0,0.0,4855,18
PG,2007-06-01,2026-09-17,4855,0,0.0,4855,34
CAT,2007-06-01,2026-09-17,4855,0,0.0,4855,7
NEE,2007-06-01,2026-09-17,4855,0,0.0,4855,21
SPY,2007-06-01,2026-09-17,4855,0,0.0,4855,13
AGG,2007-06-01,2026-09-17,4855,0,0.0,4855,66
TLT,2007-06-01,2026-09-17,4855,0,0.0,4855,20
DBC,2007-06-01,2026-09-17,4855,0,0.0,4855,83
GLD,2007-06-01,2026-09-17,4855,0,0.0,4855,14
VNQ,2007-06-01,2026-09-17,4855,0,0.0,4855,23
BIL,2007-06-01,2026-09-17,4855,0,0.0,4855,1818
