ticker,equity,duration,commodity,real_estate
AAPL,1.2079905229469556,0.039920813571453294,-0.03975981723645402,-0.11304847592237519
MSFT,1.2417333568012294,0.05485466132993445,-0.0800723426626551,-0.13651656235398343
JNJ,0.48474715034949106,-0.04492153963799874,-0.06706025086236701,0.0306985531868369
JPM,0.7554596460120996,-0.4039083247876831,-0.09163513909620104,0.47568969671910266
XOM,0.64527533981158,-0.1388055018520316,0.48719445933806127,0.0006115658315930544
PG,0.46596844414051697,0.0158926172002375,-0.08492059314932995,0.08553051670108175
CAT,0.9999486630244987,-0.13852189647485846,0.23413976925811686,0.03501041509280208
NEE,0.5694914920178563,0.20425976869237694,-0.015480124056639812,0.14709808522947937
SPY,1.0,8.116629006150982e-17,-3.426137188225445e-16,-4.008146515171028e-16
AGG,0.07989193376315397,0.2851725028859092,0.01512458016432706,-0.015977121415978773
TLT,-1.1102230246251565e-16,0.9999999999999993,1.0274415184418373e-16,1.3189769094074587e-16
DBC,-3.3306690738754696e-16,1.0909981856215651e-16,1.0000000000000002,1.0242359761867497e-16
GLD,-0.021048579472170953,0.31128400091724656,0.38220455013777904,0.002004514703185055
VNQ,1.1102230246251565e-16,7.990462191185482e-18,-4.2764271122151715e-18,0.9999999999999999
BIL,-0.0037543922833442283,0.0006875187376695527,-0.0004312400136901113,0.0010008063135623075
